station_id,completed_trips,final_missed_trips,final_bike_count,simulated_day,status,total_outgoing,total_incoming,healthy_percentage
1a,106,0,37,2022-05-11,always_full,106,118,28
1b,45,0,42,2022-05-11,underused,45,58,21
2,104,0,50,2022-05-11,always_full,104,126,13
3,133,0,19,2022-05-11,always_full,133,124,55
4,77,0,36,2022-05-11,always_full,77,86,48
5,133,0,24,2022-05-11,balanced,133,135,68
6,140,0,25,2022-05-11,always_full,140,135,81
7,0,0,30,2022-05-11,underused,0,0,100
8,295,0,12,2022-05-11,busy,295,286,46
9,88,0,43,2022-05-11,always_full,88,101,66
10,121,0,35,2022-05-11,always_full,121,128,32
11,132,0,10,2022-05-11,always_full,132,114,26
12,200,0,23,2022-05-11,busy,200,194,65
13,119,0,34,2022-05-11,always_full,119,125,77
14,141,0,43,2022-05-11,always_full,141,156,29
15,123,0,32,2022-05-11,always_full,123,131,54
16,125,0,31,2022-05-11,always_full,125,129,60
17,114,0,46,2022-05-11,always_full,114,132,41
18,170,0,34,2022-05-11,always_full,170,178,52
22,91,0,36,2022-05-11,always_full,91,97,34
23,0,0,30,2022-05-11,underused,0,0,100
26,364,0,67,2022-05-11,busy,364,404,31
24,94,0,37,2022-05-11,always_full,94,103,25
25a,35,0,25,2022-05-11,underused,35,30,69
25b,46,0,26,2022-05-11,underused,46,42,43
27,182,0,32,2022-05-11,busy,182,192,51
28,153,0,20,2022-05-11,always_full,153,145,44
29,119,0,26,2022-05-11,always_full,119,119,51
30,111,0,19,2022-05-11,always_full,111,103,45
31,79,0,37,2022-05-11,always_full,79,87,66
32,0,0,30,2022-05-11,underused,0,0,100
36,144,0,32,2022-05-11,always_full,144,148,41
33,78,0,45,2022-05-11,always_full,78,93,42
34,180,0,31,2022-05-11,busy,180,181,56
35,109,1,22,2022-05-11,always_full,110,103,58
40,142,0,24,2022-05-11,balanced,142,142,66
37,185,7,53,2022-05-11,busy,192,210,44
38,173,20,43,2022-05-11,busy,193,192,52
39,295,22,39,2022-05-11,busy,317,314,35
45,210,5,44,2022-05-11,busy,215,230,25
41,200,1,32,2022-05-11,busy,201,204,42
42,156,26,52,2022-05-11,busy,182,196,43
43,85,18,25,2022-05-11,always_full,103,91,55
44,144,9,36,2022-05-11,always_full,153,152,58
46,144,1,36,2022-05-11,always_full,145,150,28
47,112,0,13,2022-05-11,always_full,112,96,76
48,176,9,17,2022-05-11,busy,185,169,70
49,164,1,31,2022-05-11,always_full,165,169,56
50,127,0,17,2022-05-11,balanced,127,114,98
51,171,0,39,2022-05-11,always_full,171,182,41
52,125,0,28,2022-05-11,always_full,125,123,78
53,238,30,37,2022-05-11,busy,268,265,44
58,203,10,14,2022-05-11,busy,213,200,57
54,175,0,35,2022-05-11,busy,175,183,40
55,0,0,30,2022-05-11,underused,0,0,100
59,219,38,59,2022-05-11,busy,257,257,49
56,41,0,39,2022-05-11,underused,41,50,30
57,79,0,27,2022-05-11,always_full,79,76,65
60,237,0,38,2022-05-11,busy,237,249,25
61,145,0,41,2022-05-11,always_full,145,160,32
62,152,0,34,2022-05-11,always_full,152,158,24
63,87,0,51,2022-05-11,always_full,87,110,31
65,134,0,44,2022-05-11,always_full,134,148,11
