station_id,completed_trips,final_missed_trips,final_bike_count,simulated_day,status,total_outgoing,total_incoming,healthy_percentage
67,125,0,28,2022-05-11,always_full,125,125,34
68,96,0,39,2022-05-11,always_full,96,105,14
69,161,0,40,2022-05-11,always_full,161,171,15
70,170,0,43,2022-05-11,always_full,170,188,64
71,119,2,32,2022-05-11,always_full,121,121,38
72,140,0,28,2022-05-11,always_full,140,139,26
73,139,0,20,2022-05-11,always_full,139,131,48
74,152,7,37,2022-05-11,always_full,159,162,16
75,175,3,38,2022-05-11,busy,178,183,41
76,95,14,41,2022-05-11,balanced,109,114,39
77,117,0,31,2022-05-11,always_full,117,120,77
78,89,0,38,2022-05-11,always_full,89,97,4
79,185,14,40,2022-05-11,busy,199,198,49
80a,158,0,38,2022-05-11,always_full,158,169,24
80b,87,0,28,2022-05-11,always_full,87,85,34
81,114,0,22,2022-05-11,always_full,114,110,37
87,0,0,30,2022-05-11,underused,0,0,100
82,83,0,20,2022-05-11,always_full,83,75,32
83,57,0,36,2022-05-11,underused,57,63,76
84,72,0,46,2022-05-11,underused,72,89,14
85,250,0,14,2022-05-11,busy,250,237,52
86,151,0,31,2022-05-11,always_full,151,160,6
92,152,0,18,2022-05-11,always_full,152,144,51
88,116,0,35,2022-05-11,always_full,116,121,29
89,100,0,30,2022-05-11,always_full,100,102,6
90,111,0,13,2022-05-11,always_full,111,95,48
91,93,0,38,2022-05-11,always_full,93,103,32
98,101,0,29,2022-05-11,always_full,101,102,62
93,50,0,30,2022-05-11,underused,50,52,49
94,115,0,17,2022-05-11,always_full,115,103,66
95,87,0,30,2022-05-11,always_full,87,90,43
96,88,0,6,2022-05-11,always_full,88,67,58
97,47,0,34,2022-05-11,underused,47,51,41
99,96,0,39,2022-05-11,always_full,96,105,72
100,62,0,15,2022-05-11,underused,62,49,93
101,124,0,32,2022-05-11,always_full,124,127,67
102,93,0,26,2022-05-11,always_full,93,89,47
104,56,0,24,2022-05-11,underused,56,52,45
105,101,0,40,2022-05-11,always_full,101,111,28
106a,45,0,29,2022-05-11,underused,45,46,52
106b,57,0,29,2022-05-11,underused,57,56,50
107,95,0,22,2022-05-11,always_full,95,90,49
108,145,0,42,2022-05-11,always_full,145,159,40
109,89,0,29,2022-05-11,always_full,89,90,32
110,142,0,20,2022-05-11,always_full,142,132,74
111a,90,0,32,2022-05-11,always_full,90,92,45
111b,134,0,17,2022-05-11,always_full,134,121,82
112,73,0,25,2022-05-11,underused,73,68,61
113,101,0,39,2022-05-11,always_full,101,112,15
114,134,0,31,2022-05-11,always_full,134,135,34
115,89,0,42,2022-05-11,always_full,89,103,76
116b,116,0,48,2022-05-11,always_full,116,138,40
117,0,0,30,2022-05-11,underused,0,0,100
125,291,0,15,2022-05-11,busy,291,282,20
118,105,5,14,2022-05-11,always_full,110,90,40
119,78,0,41,2022-05-11,always_full,78,91,26
120,141,0,33,2022-05-11,always_full,141,147,42
121,221,18,18,2022-05-11,busy,239,217,60
122,139,0,20,2022-05-11,always_full,139,132,67
123,137,0,49,2022-05-11,always_full,137,156,24
161,266,0,56,2022-05-11,busy,266,300,3
162,104,0,24,2022-05-11,always_full,104,103,68
134,110,0,40,2022-05-11,always_full,110,120,12
163,117,0,55,2022-05-11,always_full,117,146,8
165,167,3,21,2022-05-11,balanced,170,161,67
164,145,10,25,2022-05-11,always_full,155,145,48
157,95,0,15,2022-05-11,always_full,95,80,63
158,46,0,19,2022-05-11,underused,46,35,60
155,170,24,18,2022-05-11,busy,194,178,13
156,0,0,30,2022-05-11,underused,0,0,100
140,201,0,16,2022-05-11,busy,201,195,38
154,102,0,24,2022-05-11,always_full,102,96,32
143,0,0,30,2022-05-11,underused,0,0,100
148,0,0,30,2022-05-11,underused,0,0,100
144,256,6,8,2022-05-11,busy,262,242,47
151,310,0,25,2022-05-11,busy,310,313,31
149,83,0,33,2022-05-11,always_full,83,88,36
147,71,0,37,2022-05-11,underused,71,78,57
132,174,0,37,2022-05-11,busy,174,185,41
133,29,0,37,2022-05-11,underused,29,36,49
136,0,0,30,2022-05-11,underused,0,0,100
137,80,0,26,2022-05-11,always_full,80,80,41
138,144,0,14,2022-05-11,always_full,144,133,36
146,103,0,40,2022-05-11,always_full,103,115,1
131,132,0,23,2022-05-11,always_full,132,127,30
130,171,0,38,2022-05-11,always_full,171,184,56
135,74,0,28,2022-05-11,always_full,74,72,45
139,80,0,39,2022-05-11,always_full,80,90,17
128,151,0,28,2022-05-11,always_full,151,153,78
129,157,0,6,2022-05-11,balanced,157,133,36
126,171,4,14,2022-05-11,busy,175,155,53
141,60,0,34,2022-05-11,underused,60,64,33
166,180,3,28,2022-05-11,busy,183,185,19
167,0,0,30,2022-05-11,underused,0,0,100
142,101,0,33,2022-05-11,always_full,101,110,16
127,154,18,25,2022-05-11,busy,172,160,62
124,182,0,5,2022-05-11,busy,182,160,51
145,101,0,15,2022-05-11,always_full,101,89,75
160,149,6,12,2022-05-11,always_full,155,131,37
159,0,0,30,2022-05-11,underused,0,0,100
173,152,29,37,2022-05-11,busy,181,184,42
175,341,58,52,2022-05-11,busy,399,398,43
168,0,0,30,2022-05-11,underused,0,0,100
176,267,30,55,2022-05-11,busy,297,310,47
169,149,0,51,2022-05-11,always_full,149,174,28
170,126,3,40,2022-05-11,always_full,129,139,22
179,116,0,21,2022-05-11,always_full,116,108,79
171,139,25,24,2022-05-11,always_full,164,156,23
180,63,0,23,2022-05-11,underused,63,58,29
172,103,0,27,2022-05-11,always_full,103,106,36
174,173,4,19,2022-05-11,busy,177,165,53
177,123,0,18,2022-05-11,always_full,123,112,41
178,145,2,25,2022-05-11,always_full,147,142,31
189,80,0,26,2022-05-11,always_full,80,76,45
181,152,8,4,2022-05-11,balanced,160,132,36
182,128,0,33,2022-05-11,always_full,128,133,46
183,56,0,35,2022-05-11,underused,56,61,30
192,102,1,10,2022-05-11,always_full,103,82,46
184,97,0,42,2022-05-11,always_full,97,109,21
185,70,0,15,2022-05-11,underused,70,55,48
186,93,0,45,2022-05-11,always_full,93,108,36
187,82,0,39,2022-05-11,always_full,82,91,34
188,77,0,21,2022-05-11,always_full,77,70,24
190,123,0,31,2022-05-11,always_full,123,124,40
191,100,0,24,2022-05-11,always_full,100,95,41
193,87,0,10,2022-05-11,always_full,87,67,12
194,128,0,30,2022-05-11,always_full,128,128,44
195,74,0,37,2022-05-11,always_full,74,83,51
196,174,5,30,2022-05-11,busy,179,176,31
197,74,0,18,2022-05-11,always_full,74,66,61
198,130,0,30,2022-05-11,always_full,130,132,41
207,125,3,19,2022-05-11,balanced,128,117,54
199,154,2,20,2022-05-11,balanced,156,148,42
200,226,0,20,2022-05-11,busy,226,222,82
201,108,0,19,2022-05-11,always_full,108,98,96
210,96,0,21,2022-05-11,always_full,96,87,56
202,126,0,36,2022-05-11,always_full,126,135,29
203,74,0,23,2022-05-11,always_full,74,73,56
204,0,0,30,2022-05-11,underused,0,0,100
212,375,50,36,2022-05-11,busy,425,400,39
205,0,0,30,2022-05-11,underused,0,0,100
213,280,30,56,2022-05-11,busy,310,316,12
206,149,18,13,2022-05-11,always_full,167,148,24
208,99,0,17,2022-05-11,always_full,99,88,32
209,81,0,14,2022-05-11,always_full,81,69,47
211,78,0,29,2022-05-11,always_full,78,77,60
222,107,4,20,2022-05-11,always_full,111,101,54
214,71,0,30,2022-05-11,underused,71,74,49
215,0,0,30,2022-05-11,underused,0,0,100
223,246,0,43,2022-05-11,busy,246,259,43
216,153,18,48,2022-05-11,always_full,171,179,39
225,48,0,25,2022-05-11,underused,48,45,79
217,38,0,18,2022-05-11,underused,38,26,54
218,79,0,32,2022-05-11,always_full,79,81,42
219,49,1,39,2022-05-11,underused,50,58,45
220,41,0,27,2022-05-11,underused,41,40,59
221,17,0,38,2022-05-11,underused,17,25,22
230,36,0,30,2022-05-11,underused,36,36,72
224,126,6,41,2022-05-11,always_full,132,137,44
226,63,0,34,2022-05-11,underused,63,69,47
228,0,0,30,2022-05-11,underused,0,0,100
235,203,24,33,2022-05-11,busy,227,217,13
227,98,0,40,2022-05-11,always_full,98,108,47
229,61,0,21,2022-05-11,underused,61,52,70
231,35,0,32,2022-05-11,underused,35,37,66
232,87,4,25,2022-05-11,always_full,91,83,33
233,85,9,37,2022-05-11,always_full,94,94,22
234,51,0,39,2022-05-11,underused,51,60,89
236,166,0,34,2022-05-11,always_full,166,172,30
237,0,0,30,2022-05-11,underused,0,0,100
245,199,47,49,2022-05-11,busy,246,226,37
238,107,0,24,2022-05-11,always_full,107,103,22
239,100,10,8,2022-05-11,always_full,110,78,34
240,0,0,30,2022-05-11,underused,0,0,100
248,72,0,28,2022-05-11,underused,72,71,44
241,58,0,15,2022-05-11,underused,58,43,67
242,38,0,36,2022-05-11,underused,38,44,13
243,73,0,24,2022-05-11,underused,73,71,63
244,108,0,26,2022-05-11,always_full,108,105,39
246,0,0,30,2022-05-11,underused,0,0,100
254,241,17,38,2022-05-11,busy,258,254,19
249,35,0,30,2022-05-11,underused,35,35,43
250,44,0,31,2022-05-11,underused,44,47,51
251,53,0,45,2022-05-11,underused,53,68,48
252,68,0,12,2022-05-11,underused,68,50,81
253,44,0,22,2022-05-11,underused,44,36,74
255,37,0,26,2022-05-11,underused,37,33,56
256,119,0,24,2022-05-11,always_full,119,113,71
257,61,0,34,2022-05-11,underused,61,66,32
258,20,0,29,2022-05-11,underused,20,19,48
259,40,0,19,2022-05-11,underused,40,37,78
260,68,0,29,2022-05-11,underused,68,71,46
261,62,0,29,2022-05-11,underused,62,65,42
247,68,0,23,2022-05-11,underused,68,65,42
