station_id,station_name,lat,lon
116b,116b - Plaza de EspaÃ±a B,40.423681,-3.710537
117,117 - Altamirano,40.4309797,-3.7188898
125,125 - General MartÃ­nez Campos,40.435285,-3.6948626
118,118 - Juan MartÃ­n,40.400781,-3.6882407
119,119 - MÃ©ndez Ãlvaro,40.4013216,-3.6863218
120,120 - Palos de la Frontera,40.4032208,-3.6944768
121,121 - Santa MarÃ­a de la Cabeza,40.4017926,-3.6987665
122,122 - Santa Engracia 14,40.4291992,-3.6967169
123,123 - GuzmÃ¡n el Bueno,40.4306458,-3.7133412
161,161 - Paseo de la Florida,40.4219665,-3.7224983
162,162 - Metro PirÃ¡mides,40.4034076,-3.7108108
134,134 - AgustÃ­n de Betancourt,40.4440297,-3.6956047
163,163 - Paseo de la Esperanza,40.4035988,-3.7064516
165,165 - Entrada Matadero,40.3928821,-3.6975708
164,164 - Paseo de las Delicias,40.3972616,-3.6945025
157,157 - Castellana 164,40.4591366,-3.6894151
158,158 - Alberto Alcocer,40.4585318,-3.684715
155,155 - San GermÃ¡n 57,40.4572824,-3.7009675
156,156 - Sor Ãngela de la Cruz,40.4592351,-3.691533
140,140 - VelÃ¡zquez 130,40.4385127,-3.6831578
154,154 - Orense 36,40.4548456,-3.6946218
143,143 - Diego de LeÃ³n 52,40.4345973,-3.678492
148,148 - Serrano 210,40.4510188,-3.6817962
144,144 - Juan Bravo 50,40.4323655,-3.6758555
151,151 - Orense 12,40.4489101,-3.6952943
149,149 - Paseo de la Habana 42,40.4498613,-3.6881689
147,147 - Doctor Arce 45,40.4483269,-3.6797296
132,132 - Glorieta de los Cuatro Caminos,40.4463667,-3.7036675
133,133 - Raimundo FernÃ¡ndez,40.447125,-3.7001669
136,136 - Castellana 106,40.4453307,-3.690861
137,137 - Plaza de la RepÃºblica Argentina,40.445411,-3.6853312
138,138 - Paseo de la Castellana con Raimundo FernÃ¡ndez,40.4457414,-3.6917932
146,146 - MarÃ­a Francisca 1,40.4442258,-3.6787169
131,131 - Bravo Murillo 44,40.4418402,-3.7040344
130,130 - Santa Engracia 127,40.44156,-3.70164
135,135 - Plaza de San Juan de la Cruz,40.4415974,-3.6927821
139,139 - JosÃ© GutiÃ©rrez Abascal,40.4396792,-3.6907784
128,128 - Cea BermÃºdez,40.438994,-3.7154329
129,129 - JosÃ© Abascal,40.4383865,-3.6982353
126,126 - General Ãlvarez de Castro,40.4344731,-3.7015686
141,141 - Paseo de la Castellana - Glorieta de Emilio Castelar,40.4355143,-3.6892368
166,166 - Segovia 26,40.4138333,-3.7135833
167,167 - Segovia 45,40.413736,-3.717487
142,142 - Castellana 42,40.4334087,-3.6879154
127,127 - Fernando el CatÃ³lico,40.4338516,-3.708439
124,124 - Manuel Silvela,40.4309524,-3.6993465
145,145 - Ortega y Gasset 87,40.429887,-3.6712823
160,160 - Colombia,40.4572466,-3.6763439
159,159 - Paseo de la Habana 63,40.4543852,-3.6835926
173,173 - Puente Praga,40.3981798,-3.7023918
175,175 - Jaime el Conquistador,40.3962222,-3.6983055
168,168 - Batalla del Salado,40.4044722,-3.6959166
176,176 - Beata,40.39425,-3.6937222
169,169 - PirÃ¡mides,40.4016111,-3.7138055
170,170 - Paseo de la Esperanza,40.401,-3.7043611
179,179 - Puente de Vallecas,40.3979722,-3.66925
171,171 - Embajadores-CÃ¡ceres,40.39975,-3.6983888
180,180 - MÃ©ndez Ãlvaro,40.3941388,-3.6758888
172,172 - Delicias,40.4008888,-3.6935833
174,174 - Madrid RÃ­o-YeserÃ­as,40.3974444,-3.7065277
177,177 - Legazpi,40.3914722,-3.6941944
178,178 - Junta Municipal Retiro,40.4029202,-3.6788343
189,189 - Avenida Donostiarra,40.4351256,-3.6554918
