station_id,completed_trips,missed_trips,final_bike_count,simulated_day,status,total_outgoing,total_incoming,healthy_percentage,avg_availability
111b,136,0,19,2022-05-11,balanced,134,121,92,48.59
112,77,0,13,2022-05-11,always_full,73,68,65,63.14
113,103,0,26,2022-05-11,always_full,101,112,64,57.17
114,140,0,22,2022-05-11,always_full,134,135,72,58.22
115,100,3,49,2022-05-11,always_full,89,103,55,68.89
116b,111,19,19,2022-05-11,always_full,116,138,51,59.95
117,0,0,16,2022-05-11,underused,0,0,86,47.3
125,271,48,7,2022-05-11,busy,291,282,76,37.48
118,110,6,117,2022-05-11,always_full,110,90,36,154.24
119,80,0,44,2022-05-11,always_full,78,91,43,75.47
120,132,15,42,2022-05-11,balanced,141,147,74,46.2
121,219,30,118,2022-05-11,busy,239,217,22,153.82
122,147,8,120,2022-05-11,always_full,139,132,15,191.94
123,148,0,17,2022-05-11,balanced,137,156,86,44.96
161,287,0,28,2022-05-11,busy,266,300,70,55.43
162,104,5,82,2022-05-11,always_full,104,103,38,107.81
134,116,0,21,2022-05-11,balanced,110,120,86,44.69
163,119,0,71,2022-05-11,always_full,117,146,38,97.64
165,149,33,19,2022-05-11,balanced,170,161,81,34.41
164,147,27,41,2022-05-11,always_full,155,145,54,56.4
157,93,8,4,2022-05-11,always_full,95,80,56,158.39
158,36,14,0,2022-05-11,underused,46,35,56,41.24
155,206,2,141,2022-05-11,busy,194,178,42,168.68
156,0,0,36,2022-05-11,underused,0,0,42,69.97
140,135,92,1,2022-05-11,busy,201,195,51,53.17
154,107,5,8,2022-05-11,balanced,102,96,70,44.35
143,0,0,31,2022-05-11,underused,0,0,43,63.89
148,0,0,14,2022-05-11,underused,0,0,86,45.62
144,242,42,5,2022-05-11,busy,262,242,58,55.3
151,315,21,6,2022-05-11,busy,310,313,37,101.01
149,84,4,44,2022-05-11,always_full,83,88,22,98.39
147,65,14,12,2022-05-11,always_full,71,78,51,57.96
132,174,13,18,2022-05-11,balanced,174,185,84,36.93
133,33,0,18,2022-05-11,underused,29,36,64,63.92
136,0,0,6,2022-05-11,underused,0,0,86,36.1
137,43,45,0,2022-05-11,always_empty,80,80,42,41.09
138,81,75,2,2022-05-11,always_empty,144,133,37,161.77
146,104,0,17,2022-05-11,balanced,103,115,76,46.95
131,114,30,2,2022-05-11,balanced,132,127,74,36.59
130,172,6,25,2022-05-11,always_full,171,184,72,49.9
135,49,30,0,2022-05-11,always_full,74,72,43,77.33
139,73,18,0,2022-05-11,always_full,80,90,42,55.47
128,162,0,15,2022-05-11,balanced,151,153,78,52.0
129,155,8,2,2022-05-11,always_full,157,133,65,143.82
126,170,9,3,2022-05-11,always_full,175,155,70,41.04
141,64,8,1,2022-05-11,always_full,60,64,62,43.31
166,163,33,25,2022-05-11,busy,183,185,82,33.14
167,0,0,19,2022-05-11,underused,0,0,86,51.13
142,103,0,23,2022-05-11,always_full,101,110,28,81.53
127,147,25,34,2022-05-11,always_full,172,160,46,51.23
124,189,0,4,2022-05-11,busy,182,160,62,59.98
145,108,0,2,2022-05-11,balanced,101,89,92,42.77
160,146,19,13,2022-05-11,always_full,155,131,65,45.5
159,0,0,6,2022-05-11,underused,0,0,86,36.23
173,161,32,37,2022-05-11,busy,181,184,54,60.29
175,339,71,55,2022-05-11,busy,399,398,52,55.32
168,0,0,21,2022-05-11,underused,0,0,86,53.23
176,273,46,57,2022-05-11,busy,297,310,62,54.39
169,138,19,29,2022-05-11,balanced,149,174,77,43.88
170,96,37,32,2022-05-11,balanced,129,139,63,44.17
179,120,4,23,2022-05-11,balanced,116,108,77,48.5
171,128,50,86,2022-05-11,always_full,164,156,42,94.38
180,59,4,0,2022-05-11,always_full,63,58,50,52.68
172,106,0,30,2022-05-11,always_full,103,106,59,65.72
174,167,22,34,2022-05-11,busy,177,165,67,52.25
177,104,44,9,2022-05-11,balanced,123,112,77,35.41
178,139,14,101,2022-05-11,always_full,147,142,30,128.52
189,76,6,23,2022-05-11,balanced,80,76,69,34.52
181,173,2,5,2022-05-11,always_full,160,132,65,65.69
182,133,0,21,2022-05-11,always_full,128,133,55,73.17
183,60,0,37,2022-05-11,always_full,56,61,50,66.03
192,113,0,7,2022-05-11,always_full,103,82,64,67.09
184,87,12,95,2022-05-11,always_full,97,109,34,112.84
185,63,7,10,2022-05-11,balanced,70,55,80,29.52
186,93,4,142,2022-05-11,always_full,93,108,37,172.06
187,81,3,42,2022-05-11,always_full,82,91,70,54.75
188,67,17,29,2022-05-11,balanced,77,70,73,48.56
190,120,9,27,2022-05-11,always_full,123,124,30,69.84
191,100,5,13,2022-05-11,balanced,100,95,82,38.03
193,72,21,13,2022-05-11,balanced,87,67,72,40.37
194,124,16,17,2022-05-11,balanced,128,128,74,41.44
195,75,0,20,2022-05-11,balanced,74,83,100,44.37
196,153,41,31,2022-05-11,busy,179,176,75,34.82
197,76,0,16,2022-05-11,always_full,74,66,49,64.73
198,140,0,103,2022-05-11,always_full,130,132,27,168.15
207,122,8,47,2022-05-11,always_full,128,117,18,105.29
199,142,27,18,2022-05-11,balanced,156,148,76,32.88
200,229,10,7,2022-05-11,busy,226,222,85,40.74
201,106,8,6,2022-05-11,always_full,108,98,63,94.13
210,77,25,2,2022-05-11,balanced,96,87,61,38.18
202,138,0,23,2022-05-11,balanced,126,135,85,51.57
203,76,4,2,2022-05-11,balanced,74,73,73,40.54
204,0,0,14,2022-05-11,underused,0,0,86,45.52
212,397,53,22,2022-05-11,busy,425,400,56,61.75
205,0,0,19,2022-05-11,underused,0,0,86,51.36
213,271,52,39,2022-05-11,busy,310,316,65,50.92
206,153,14,18,2022-05-11,balanced,167,148,82,41.02
208,56,49,4,2022-05-11,balanced,99,88,66,33.58
209,72,15,0,2022-05-11,balanced,81,69,78,34.67
211,84,0,10,2022-05-11,balanced,78,77,84,51.62
222,107,16,21,2022-05-11,balanced,111,101,76,43.59
214,78,3,26,2022-05-11,always_full,71,74,38,93.67
215,0,0,14,2022-05-11,underused,0,0,86,45.7
223,250,2,36,2022-05-11,busy,246,259,62,53.6
216,152,23,57,2022-05-11,always_full,171,179,61,57.35
225,48,0,21,2022-05-11,underused,48,45,86,48.73
217,40,3,2,2022-05-11,underused,38,26,80,39.77
218,78,3,28,2022-05-11,balanced,79,81,78,43.44
219,40,12,99,2022-05-11,underused,50,58,23,111.85
220,39,2,69,2022-05-11,underused,41,40,36,93.92
221,20,0,13,2022-05-11,underused,17,25,86,39.13
230,40,0,15,2022-05-11,underused,36,36,86,39.21
224,113,21,45,2022-05-11,always_full,132,137,62,47.3
226,59,8,27,2022-05-11,balanced,63,69,79,39.48
228,0,0,6,2022-05-11,underused,0,0,86,36.52
235,198,38,76,2022-05-11,busy,227,217,28,85.63
227,78,32,32,2022-05-11,balanced,98,108,61,42.99
229,59,6,4,2022-05-11,balanced,61,52,81,27.87
231,37,0,20,2022-05-11,underused,35,37,94,42.91
232,84,15,24,2022-05-11,balanced,91,83,74,32.17
233,71,25,40,2022-05-11,balanced,94,94,63,41.12
234,54,2,30,2022-05-11,underused,51,60,81,44.25
236,141,30,11,2022-05-11,balanced,166,172,81,36.08
237,0,0,6,2022-05-11,underused,0,0,86,36.21
245,210,47,47,2022-05-11,busy,246,226,38,70.01
238,101,15,6,2022-05-11,balanced,107,103,79,51.98
239,112,0,15,2022-05-11,balanced,110,78,79,51.93
240,0,0,1,2022-05-11,underused,0,0,86,30.75
248,70,8,7,2022-05-11,balanced,72,71,82,38.86
241,45,13,4,2022-05-11,balanced,58,43,77,34.58
242,41,3,10,2022-05-11,underused,38,44,85,36.39
243,68,5,10,2022-05-11,balanced,73,71,77,31.35
244,63,62,0,2022-05-11,always_full,108,105,49,121.54
246,0,0,10,2022-05-11,underused,0,0,85,40.78
254,239,32,36,2022-05-11,busy,258,254,68,42.53
249,31,7,1,2022-05-11,underused,35,35,51,44.06
250,49,1,5,2022-05-11,underused,44,47,73,41.68
251,59,0,27,2022-05-11,balanced,53,68,79,53.66
252,66,12,0,2022-05-11,balanced,68,50,63,33.83
253,50,0,42,2022-05-11,underused,44,36,17,122.12
255,31,15,0,2022-05-11,underused,37,33,57,37.84
256,123,7,9,2022-05-11,always_full,119,113,59,56.0
257,58,7,2,2022-05-11,balanced,61,66,71,48.81
258,18,4,66,2022-05-11,underused,20,19,39,108.95
259,41,7,0,2022-05-11,underused,40,37,50,37.62
260,66,6,0,2022-05-11,always_full,68,71,55,47.77
261,65,0,10,2022-05-11,always_full,62,65,58,59.14
247,71,3,4,2022-05-11,always_full,68,65,46,49.77
