trip_id,start_time,end_time,start_station_id,end_station_id,trip_minutes,unlock_lat,unlock_lon,lock_lat,lock_lon,distance_km
387622,2022-05-11 00:00:08,2022-05-11 00:08:29,5,134,8.35,40.42852,-3.70205,40.4440297,-3.6956047,1.8088125508125923
387623,2022-05-11 00:00:08,2022-05-11 00:08:29,5,134,8.35,40.42852,-3.70205,40.4440297,-3.6956047,1.8088125508125923
387624,2022-05-11 00:00:17,2022-05-11 00:15:08,9,51,14.85,40.4156057,-3.7095084,40.4075606,-3.6935205,1.6225048560862498
387625,2022-05-11 00:00:17,2022-05-11 00:15:08,9,51,14.85,40.4156057,-3.7095084,40.4075606,-3.6935205,1.6225048560862498
387626,2022-05-11 00:00:19,2022-05-11 00:06:21,5,201,6.03,40.42852,-3.70205,40.4386944,-3.7038333,1.1413652904069416
387627,2022-05-11 00:00:19,2022-05-11 00:06:21,5,201,6.03,40.42852,-3.70205,40.4386944,-3.7038333,1.1413652904069416
387628,2022-05-11 00:00:26,2022-05-11 00:10:10,41,74,9.73,40.4122047,-3.6991147,40.4117627,-3.6766813,1.899939884042324
387629,2022-05-11 00:00:26,2022-05-11 00:10:10,41,74,9.73,40.4122047,-3.6991147,40.4117627,-3.6766813,1.899939884042324
387630,2022-05-11 00:00:27,2022-05-11 00:16:00,124,188,15.55,40.4309524,-3.6993465,40.4311944,-3.6590555,3.4103403686887126
387631,2022-05-11 00:00:27,2022-05-11 00:16:00,124,188,15.55,40.4309524,-3.6993465,40.4311944,-3.6590555,3.4103403686887126
387632,2022-05-11 00:00:28,2022-05-11 00:09:27,123,38,8.98,40.4306458,-3.7133412,40.4114041,-3.7114762,2.14539631713644
387633,2022-05-11 00:00:28,2022-05-11 00:09:27,123,38,8.98,40.4306458,-3.7133412,40.4114041,-3.7114762,2.14539631713644
387634,2022-05-11 00:00:44,2022-05-11 00:04:14,135,130,3.5,40.4415974,-3.6927821,40.44156,-3.70164,0.7496279360314855
387635,2022-05-11 00:00:44,2022-05-11 00:04:14,135,130,3.5,40.4415974,-3.6927821,40.44156,-3.70164,0.7496279360314855
387636,2022-05-11 00:00:48,2022-05-11 00:16:05,124,188,15.28,40.4309524,-3.6993465,40.4311944,-3.6590555,3.4103403686887126
387637,2022-05-11 00:00:48,2022-05-11 00:16:05,124,188,15.28,40.4309524,-3.6993465,40.4311944,-3.6590555,3.4103403686887126
387638,2022-05-11 00:00:49,2022-05-11 00:01:14,161,161,0.42,40.4219665,-3.7224983,40.4219665,-3.7224983,0.0
387639,2022-05-11 00:00:49,2022-05-11 00:01:14,161,161,0.42,40.4219665,-3.7224983,40.4219665,-3.7224983,0.0
387640,2022-05-11 00:01:15,2022-05-11 00:26:54,48,236,25.65,40.4056107,-3.7022591,40.40765396169372,-3.7172213778842007,1.287080665224578
387641,2022-05-11 00:01:15,2022-05-11 00:26:54,48,236,25.65,40.4056107,-3.7022591,40.40765396169372,-3.7172213778842007,1.287080665224578
387642,2022-05-11 00:01:22,2022-05-11 00:08:55,102,15,7.55,40.4211802,-3.6840229,40.4262383,-3.7074453,2.0609216617192105
387643,2022-05-11 00:01:22,2022-05-11 00:08:55,102,15,7.55,40.4211802,-3.6840229,40.4262383,-3.7074453,2.0609216617192105
387644,2022-05-11 00:01:40,2022-05-11 00:12:04,161,39,10.4,40.4219665,-3.7224983,40.4112744,-3.7088337,1.6588359714211676
387645,2022-05-11 00:01:40,2022-05-11 00:12:04,161,39,10.4,40.4219665,-3.7224983,40.4112744,-3.7088337,1.6588359714211676
387646,2022-05-11 00:01:52,2022-05-11 00:02:08,210,210,0.27,40.419674,-3.7026735,40.419674,-3.7026735,0.0
387647,2022-05-11 00:01:52,2022-05-11 00:09:07,181,78,7.25,40.41825,-3.6766111,40.400789,-3.6744,1.950579068307368
387648,2022-05-11 00:01:52,2022-05-11 00:02:08,210,210,0.27,40.419674,-3.7026735,40.419674,-3.7026735,0.0
387649,2022-05-11 00:01:52,2022-05-11 00:09:07,181,78,7.25,40.41825,-3.6766111,40.400789,-3.6744,1.950579068307368
387650,2022-05-11 00:01:58,2022-05-11 00:21:07,48,226,19.15,40.4056107,-3.7022591,40.39901531507069,-3.6607768678037744,3.5883037389724546
387651,2022-05-11 00:01:58,2022-05-11 00:21:07,48,226,19.15,40.4056107,-3.7022591,40.39901531507069,-3.6607768678037744,3.5883037389724546
387652,2022-05-11 00:02:00,2022-05-11 00:02:24,48,48,0.4,40.4056107,-3.7022591,40.4056107,-3.7022591,0.0
387653,2022-05-11 00:02:00,2022-05-11 00:02:24,48,48,0.4,40.4056107,-3.7022591,40.4056107,-3.7022591,0.0
387654,2022-05-11 00:02:10,2022-05-11 00:16:05,18,45,13.92,40.4207773,-3.6996502,40.4070358,-3.7110513,1.807323977506752
387655,2022-05-11 00:02:10,2022-05-11 00:16:05,18,45,13.92,40.4207773,-3.6996502,40.4070358,-3.7110513,1.807323977506752
387656,2022-05-11 00:02:13,2022-05-11 00:05:58,24,175,3.75,40.417908,-3.710692,40.413736,-3.717487,0.7390074452560624
387657,2022-05-11 00:02:13,2022-05-11 00:05:58,24,175,3.75,40.417908,-3.710692,40.413736,-3.717487,0.7390074452560624
387658,2022-05-11 00:02:16,2022-05-11 00:02:27,194,194,0.18,40.43725,-3.6772222,40.43725,-3.6772222,0.0
387659,2022-05-11 00:02:16,2022-05-11 00:02:27,194,194,0.18,40.43725,-3.6772222,40.43725,-3.6772222,0.0
387660,2022-05-11 00:02:27,2022-05-11 00:07:04,14,22,4.62,40.4260957,-3.713479,40.4200783,-3.7065376,0.8904848617962225
387661,2022-05-11 00:02:27,2022-05-11 00:07:04,14,22,4.62,40.4260957,-3.713479,40.4200783,-3.7065376,0.8904848617962225
387662,2022-05-11 00:02:32,2022-05-11 00:12:22,210,61,9.83,40.419674,-3.7026735,40.4213983,-3.6752045,2.33323432418802
387663,2022-05-11 00:02:32,2022-05-11 00:12:22,210,61,9.83,40.419674,-3.7026735,40.4213983,-3.6752045,2.33323432418802
387664,2022-05-11 00:02:36,2022-05-11 00:02:52,195,195,0.27,40.4392222,-3.6754444,40.4392222,-3.6754444,0.0
387665,2022-05-11 00:02:36,2022-05-11 00:02:59,169,169,0.38,40.4016111,-3.7138055,40.4016111,-3.7138055,0.0
387666,2022-05-11 00:02:36,2022-05-11 00:02:52,195,195,0.27,40.4392222,-3.6754444,40.4392222,-3.6754444,0.0
