simulated_day,method,completed_trips,missed_trips,completion_rate,rebalancing_cost,avg_availability,remaining_bikes,moved_3_4_h,moved_12_13_h
2022-05-05,MARL,14236,394,97.31,7800,93.76,7704,2742,5058
2022-05-11,MARL,27663,2205,92.62,7749,91.95,7704,2870,4879
2022-05-05,MARL,14252,378,97.42,7617,93.85,7704,2742,4875
2022-05-11,MARL,27550,2318,92.24,7633,92.04,7704,2870,4763
2022-05-05,MARL,14116,514,96.49,8707,93.27,7704,2742,5965
2022-05-11,MARL,26915,2953,90.11,8665,91.52,7704,2870,5795
2022-05-05,MARL,14262,368,97.48,7284,94.04,7704,2742,4542
2022-05-11,MARL,27725,2143,92.83,7060,92.33,7704,2870,4190
2022-05-05,MARL,14303,327,97.76,7410,93.98,7704,2742,4668
2022-05-11,MARL,27626,2242,92.49,7111,92.31,7704,2870,4241
2022-05-05,MARL,14335,295,97.98,6981,94.2,7704,2742,4239
2022-05-11,MARL,27669,2199,92.64,6842,92.47,7704,2870,3972
2022-05-05,MARL,13897,733,94.99,9935,92.6,7704,2742,7193
2022-05-11,MARL,26095,3773,87.37,9713,91.04,7704,2870,6843
2022-05-05,MARL,14286,344,97.65,6545,94.45,7704,2742,3803
2022-05-11,MARL,27859,2009,93.27,6672,92.53,7704,2870,3802
2022-05-05,MARL,14364,266,98.18,6827,94.28,7704,2742,4085
2022-05-11,MARL,27728,2140,92.84,6509,92.64,7704,2870,3639
2022-05-05,MARL,14395,235,98.39,6557,94.44,7704,2742,3815
2022-05-11,MARL,27794,2074,93.06,6446,92.66,7704,2870,3576
2022-05-05,MARL,14473,157,98.93,6051,94.7,7704,2742,3309
2022-05-11,MARL,28021,1847,93.82,5719,93.05,7704,2870,2849
2022-05-05,MARL,14467,163,98.89,5452,95.05,7704,2742,2710
2022-05-11,MARL,28259,1609,94.61,5513,93.14,7704,2870,2643
2022-05-05,MARL,14273,357,97.56,6310,94.59,7704,2742,3568
2022-05-11,MARL,27629,2239,92.5,6302,92.78,7704,2870,3432
2022-05-05,MARL,14460,170,98.84,6040,94.72,7704,2742,3298
2022-05-11,MARL,27871,1997,93.31,5871,92.99,7704,2870,3001
2022-05-05,MARL,14375,255,98.26,5656,94.94,7704,2742,2914
2022-05-11,MARL,27921,1947,93.48,5729,93.06,7704,2870,2859
2022-05-05,MARL,14350,280,98.09,5862,94.83,7704,2742,3120
2022-05-11,MARL,28225,1643,94.5,5633,93.08,7704,2870,2763
2022-05-05,MARL,14420,210,98.56,5490,95.03,7704,2742,2748
2022-05-11,MARL,27960,1908,93.61,5636,93.11,7704,2870,2766
2022-05-05,MARL,14361,269,98.16,5578,94.99,7704,2742,2836
2022-05-11,MARL,28080,1788,94.01,5570,93.13,7704,2870,2700
2022-05-05,MARL,14312,318,97.83,5881,94.83,7704,2742,3139
2022-05-11,MARL,27766,2102,92.96,6047,92.91,7704,2870,3177
2022-05-05,MARL,14240,390,97.33,6071,94.73,7704,2742,3329
2022-05-11,MARL,27516,2352,92.13,6176,92.86,7704,2870,3306
2022-05-05,MARL,14418,212,98.55,5277,95.15,7704,2742,2535
2022-05-11,MARL,28114,1754,94.13,5338,93.25,7704,2870,2468
2022-05-05,MARL,14375,255,98.26,5294,95.15,7704,2742,2552
2022-05-11,MARL,28131,1737,94.18,5276,93.28,7704,2870,2406
2022-05-05,MARL,14400,230,98.43,5300,95.14,7704,2742,2558
2022-05-11,MARL,27970,1898,93.65,5414,93.23,7704,2870,2544
2022-05-05,MARL,14421,209,98.57,5252,95.16,7704,2742,2510
2022-05-11,MARL,28038,1830,93.87,5302,93.28,7704,2870,2432
2022-05-05,MARL,14354,276,98.11,5331,95.13,7704,2742,2589
2022-05-11,MARL,28144,1724,94.23,5285,93.28,7704,2870,2415
2022-05-05,MARL,14265,365,97.51,6035,94.75,7704,2742,3293
2022-05-11,MARL,27566,2302,92.29,6189,92.85,7704,2870,3319
2022-05-05,MARL,14356,274,98.13,5262,95.17,7704,2742,2520
2022-05-11,MARL,28143,1725,94.22,5257,93.29,7704,2870,2387
2022-05-05,MARL,14315,315,97.85,5882,94.83,7704,2742,3140
