station_id,completed_trips,final_missed_trips,final_bike_count,simulated_day,status,total_outgoing,total_incoming,healthy_percentage
157,50,0,17,2022-05-05,underused,50,37,100
158,19,0,33,2022-05-05,underused,19,22,49
155,70,0,17,2022-05-05,underused,70,57,60
156,0,0,30,2022-05-05,underused,0,0,100
140,102,0,26,2022-05-05,always_full,102,98,55
154,50,0,30,2022-05-05,underused,50,50,86
143,1,0,29,2022-05-05,underused,1,0,100
148,0,0,30,2022-05-05,underused,0,0,100
144,110,0,23,2022-05-05,always_full,110,103,86
151,148,0,25,2022-05-05,always_full,148,142,45
149,66,0,28,2022-05-05,underused,66,64,44
147,41,0,23,2022-05-05,underused,41,34,100
132,115,0,21,2022-05-05,always_full,115,105,56
133,34,0,18,2022-05-05,underused,34,22,100
136,0,0,30,2022-05-05,underused,0,0,100
137,31,0,30,2022-05-05,underused,31,31,35
138,91,0,8,2022-05-05,always_full,91,69,47
146,80,0,27,2022-05-05,always_full,77,75,29
131,37,0,33,2022-05-05,underused,37,41,72
130,117,0,30,2022-05-05,always_full,117,117,63
135,55,0,20,2022-05-05,underused,55,46,51
139,49,0,28,2022-05-05,underused,49,47,55
128,82,0,42,2022-05-05,always_full,82,94,33
129,61,0,26,2022-05-05,underused,61,57,100
126,86,0,35,2022-05-05,always_full,86,91,43
141,30,0,33,2022-05-05,underused,30,33,34
166,95,0,26,2022-05-05,always_full,95,90,98
167,0,0,30,2022-05-05,underused,0,0,100
142,47,0,33,2022-05-05,underused,47,50,33
127,73,0,35,2022-05-05,underused,73,79,80
124,100,0,35,2022-05-05,balanced,100,105,85
145,46,0,26,2022-05-05,underused,46,42,95
160,63,0,32,2022-05-05,underused,63,65,32
159,0,0,30,2022-05-05,underused,0,0,100
173,79,0,46,2022-05-05,always_full,79,94,32
175,152,0,25,2022-05-05,always_full,152,147,25
168,0,0,30,2022-05-05,underused,0,0,100
176,102,0,28,2022-05-05,always_full,102,100,61
169,69,0,36,2022-05-05,underused,69,75,12
170,76,0,30,2022-05-05,always_full,76,76,65
179,57,0,40,2022-05-05,underused,57,67,5
171,63,0,24,2022-05-05,underused,63,57,67
180,33,0,27,2022-05-05,underused,33,30,24
172,70,0,19,2022-05-05,underused,69,58,99
174,54,0,33,2022-05-05,underused,54,56,72
177,45,0,29,2022-05-05,underused,45,44,37
178,70,0,39,2022-05-05,underused,70,79,59
189,39,0,33,2022-05-05,underused,39,42,75
181,89,0,22,2022-05-05,always_full,89,81,71
182,58,0,21,2022-05-05,underused,58,49,40
183,31,0,37,2022-05-05,underused,31,38,38
192,51,0,17,2022-05-05,underused,51,38,100
184,50,0,34,2022-05-05,underused,50,52,98
185,30,0,30,2022-05-05,underused,30,30,70
186,56,0,25,2022-05-05,underused,55,51,35
187,44,0,21,2022-05-05,underused,44,35,100
188,37,0,38,2022-05-05,underused,37,45,79
190,68,0,31,2022-05-05,underused,68,69,8
191,41,0,35,2022-05-05,underused,41,46,47
193,33,0,24,2022-05-05,underused,33,27,62
194,71,0,28,2022-05-05,underused,71,69,64
195,28,0,23,2022-05-05,underused,28,21,68
196,111,0,26,2022-05-05,always_full,111,106,67
197,43,0,20,2022-05-05,underused,43,33,100
198,58,0,28,2022-05-05,underused,58,56,47
207,45,0,24,2022-05-05,underused,45,39,83
199,58,0,38,2022-05-05,underused,58,66,64
