station_id,completed_trips,missed_trips,final_bike_count,simulated_day,status,total_outgoing,total_incoming,healthy_percentage,avg_availability
1a,56,0,39,2022-05-05,underused,56,67,30,80.18
1b,29,0,31,2022-05-05,underused,28,46,70,62.33
2,55,0,37,2022-05-05,underused,55,67,44,69.19
3,57,1,27,2022-05-05,always_full,58,57,61,55.89
4,33,0,34,2022-05-05,underused,33,38,44,67.59
5,58,3,36,2022-05-05,always_full,61,51,20,136.73
6,66,0,29,2022-05-05,always_full,66,59,31,84.71
7,0,0,25,2022-05-05,underused,0,0,86,56.37
8,162,0,28,2022-05-05,always_full,162,173,46,69.86
9,60,0,37,2022-05-05,always_full,60,55,35,74.24
10,37,0,9,2022-05-05,underused,37,44,73,48.12
11,47,0,64,2022-05-05,underused,47,59,42,96.93
12,102,2,51,2022-05-05,always_full,104,102,40,80.01
13,62,0,44,2022-05-05,always_full,62,69,43,72.5
14,56,0,23,2022-05-05,underused,56,62,68,60.33
15,53,1,91,2022-05-05,underused,54,54,37,123.23
16,63,0,39,2022-05-05,always_full,62,64,43,65.18
17,57,0,39,2022-05-05,underused,57,54,42,68.59
18,94,0,46,2022-05-05,always_full,93,105,43,77.17
22,55,0,24,2022-05-05,underused,55,52,53,65.6
23,0,0,43,2022-05-05,underused,0,0,42,77.21
26,169,0,15,2022-05-05,always_full,169,167,61,62.69
24,57,0,32,2022-05-05,underused,57,53,20,88.05
25a,11,0,20,2022-05-05,underused,11,12,85,52.13
25b,8,0,24,2022-05-05,underused,8,12,81,58.16
27,93,2,8,2022-05-05,always_full,95,84,63,98.37
28,70,0,9,2022-05-05,always_full,70,71,70,50.25
29,54,0,4,2022-05-05,underused,53,55,68,47.29
30,47,0,59,2022-05-05,underused,47,53,41,92.91
31,32,1,30,2022-05-05,underused,33,31,44,61.48
32,0,0,20,2022-05-05,underused,0,0,86,51.62
36,64,1,23,2022-05-05,balanced,65,68,85,45.51
33,35,0,30,2022-05-05,underused,35,45,31,71.62
34,94,0,47,2022-05-05,always_full,94,100,43,78.21
35,45,0,42,2022-05-05,underused,45,48,43,71.72
40,61,3,63,2022-05-05,always_full,64,65,38,90.27
37,102,3,67,2022-05-05,always_full,105,117,42,83.54
38,68,9,46,2022-05-05,always_full,77,83,39,66.74
39,150,4,46,2022-05-05,always_full,151,150,50,65.69
45,116,8,51,2022-05-05,always_full,124,124,39,69.52
41,110,1,38,2022-05-05,always_full,111,111,44,64.31
42,85,1,121,2022-05-05,always_full,86,89,39,141.26
43,44,0,77,2022-05-05,underused,44,42,42,95.24
44,69,2,43,2022-05-05,always_full,71,75,59,57.2
46,59,2,75,2022-05-05,always_full,60,61,40,103.26
47,51,1,59,2022-05-05,underused,52,54,37,86.67
48,86,0,22,2022-05-05,balanced,86,81,78,57.67
49,68,0,37,2022-05-05,always_full,68,62,41,70.59
50,57,1,25,2022-05-05,balanced,57,61,79,58.19
51,72,1,9,2022-05-05,balanced,73,74,79,45.7
52,59,0,34,2022-05-05,always_full,59,63,45,65.82
53,152,3,32,2022-05-05,always_full,155,144,43,123.62
58,84,0,33,2022-05-05,always_full,84,94,49,68.02
54,105,0,38,2022-05-05,always_full,105,108,37,72.78
55,0,0,34,2022-05-05,underused,0,0,42,67.58
59,148,2,66,2022-05-05,always_full,149,149,45,85.82
56,20,0,19,2022-05-05,underused,20,20,86,54.08
57,27,0,18,2022-05-05,underused,27,27,86,50.48
60,92,3,57,2022-05-05,always_full,94,85,19,126.51
61,74,0,14,2022-05-05,balanced,74,67,95,50.04
62,72,0,2,2022-05-05,always_full,72,63,53,58.08
63,62,0,8,2022-05-05,balanced,62,57,94,48.06
65,53,2,47,2022-05-05,underused,55,63,27,93.4
67,52,1,25,2022-05-05,underused,53,49,86,54.18
68,38,0,9,2022-05-05,underused,38,36,72,50.64
69,69,1,0,2022-05-05,always_full,70,71,60,41.46
70,77,1,10,2022-05-05,always_full,78,64,64,136.23
71,63,0,36,2022-05-05,always_full,63,57,38,75.31
72,71,0,43,2022-05-05,always_full,71,74,43,75.37
73,85,5,11,2022-05-05,always_full,90,69,61,112.73
74,96,3,41,2022-05-05,always_full,99,101,43,58.76
75,77,1,22,2022-05-05,balanced,78,85,84,40.92
76,65,0,31,2022-05-05,always_full,65,68,68,46.66
77,67,0,24,2022-05-05,always_full,67,62,66,69.32
78,65,1,34,2022-05-05,always_full,66,66,53,57.33
79,86,1,30,2022-05-05,balanced,87,94,75,49.52
80a,62,0,33,2022-05-05,always_full,62,65,44,66.6
80b,45,2,22,2022-05-05,underused,47,50,64,62.05
81,75,0,21,2022-05-05,balanced,75,74,86,51.84
87,0,0,13,2022-05-05,underused,0,0,86,43.72
82,42,0,30,2022-05-05,underused,42,43,49,58.26
83,19,1,26,2022-05-05,underused,20,24,85,56.56
84,53,1,26,2022-05-05,underused,54,57,85,48.6
85,117,1,50,2022-05-05,always_full,118,110,19,136.53
86,51,18,1,2022-05-05,always_full,69,71,56,38.73
92,81,11,3,2022-05-05,always_full,91,93,62,40.95
88,31,15,0,2022-05-05,underused,46,49,51,37.01
89,48,0,22,2022-05-05,underused,48,41,66,64.38
90,68,0,2,2022-05-05,always_full,67,68,74,47.23
91,61,0,24,2022-05-05,always_full,61,61,67,59.73
98,62,0,22,2022-05-05,always_full,62,64,73,60.52
93,28,0,13,2022-05-05,underused,28,24,100,50.28
94,74,2,0,2022-05-05,always_full,76,73,65,43.35
95,41,0,5,2022-05-05,underused,41,43,74,46.62
96,41,1,122,2022-05-05,underused,42,29,19,206.52
97,45,0,15,2022-05-05,underused,45,37,63,78.88
99,37,0,8,2022-05-05,underused,37,42,86,43.83
100,33,0,21,2022-05-05,underused,33,28,74,63.92
101,65,1,76,2022-05-05,always_full,66,66,39,109.9
102,31,0,6,2022-05-05,underused,30,32,77,40.37
104,21,5,1,2022-05-05,underused,26,28,65,39.5
105,43,23,1,2022-05-05,always_full,66,64,56,38.78
106a,30,0,51,2022-05-05,underused,30,21,17,114.9
106b,28,0,2,2022-05-05,underused,28,28,76,42.28
107,46,8,0,2022-05-05,underused,54,47,54,49.23
108,39,7,4,2022-05-05,underused,46,47,79,32.24
109,54,0,61,2022-05-05,underused,54,64,27,113.53
110,43,4,12,2022-05-05,underused,46,36,61,87.72
111a,32,4,3,2022-05-05,underused,36,35,78,29.38
111b,66,0,17,2022-05-05,balanced,66,64,96,50.89
112,29,0,32,2022-05-05,underused,29,23,27,71.88
113,33,0,15,2022-05-05,underused,33,33,86,50.38
114,47,6,4,2022-05-05,underused,53,49,84,32.93
115,40,0,18,2022-05-05,underused,40,48,86,48.91
116b,98,1,93,2022-05-05,always_full,99,94,20,165.95
117,0,0,10,2022-05-05,underused,0,0,86,40.42
125,118,19,4,2022-05-05,balanced,137,135,76,39.93
118,50,0,22,2022-05-05,underused,50,54,86,53.68
119,46,0,10,2022-05-05,underused,46,46,86,39.27
120,73,0,17,2022-05-05,balanced,73,69,83,54.42
121,105,0,27,2022-05-05,balanced,105,112,81,52.03
122,51,0,3,2022-05-05,underused,51,48,85,47.43
123,81,0,24,2022-05-05,balanced,81,81,86,55.54
161,120,0,7,2022-05-05,always_full,120,113,65,55.03
162,55,0,63,2022-05-05,underused,55,57,39,93.38
134,49,13,4,2022-05-05,balanced,62,59,81,35.88
163,53,1,23,2022-05-05,underused,54,61,85,54.76
165,99,9,95,2022-05-05,always_full,106,117,38,130.25
164,69,0,16,2022-05-05,balanced,68,76,86,42.63
157,46,4,1,2022-05-05,underused,50,37,62,146.76
158,19,0,9,2022-05-05,underused,19,22,86,41.28
155,63,8,84,2022-05-05,always_full,70,57,17,161.31
156,0,0,15,2022-05-05,underused,0,0,86,45.92
140,82,20,4,2022-05-05,balanced,102,98,70,48.1
154,50,0,10,2022-05-05,underused,50,50,86,42.82
143,1,0,9,2022-05-05,underused,1,0,85,39.86
148,0,0,10,2022-05-05,underused,0,0,86,40.81
144,107,3,107,2022-05-05,always_full,110,103,18,180.26
151,147,1,118,2022-05-05,always_full,148,142,20,288.78
149,66,0,48,2022-05-05,always_full,66,64,19,145.61
147,40,1,87,2022-05-05,underused,41,34,17,157.73
132,115,0,25,2022-05-05,always_full,115,105,64,82.44
133,34,0,3,2022-05-05,underused,34,22,63,85.48
