station_id,completed_trips,missed_trips,final_bike_count,simulated_day,status,total_outgoing,total_incoming,healthy_percentage,avg_availability
136,0,0,14,2022-05-05,underused,0,0,86,45.35
137,31,0,6,2022-05-05,underused,31,31,74,44.38
138,87,4,54,2022-05-05,always_full,91,69,18,234.28
146,63,15,1,2022-05-05,balanced,77,75,81,32.13
131,37,0,19,2022-05-05,underused,37,41,86,46.81
130,116,1,6,2022-05-05,always_full,117,117,69,44.13
135,54,1,90,2022-05-05,underused,55,46,17,157.62
139,49,0,56,2022-05-05,underused,49,47,36,105.38
128,64,18,49,2022-05-05,always_full,82,94,26,92.33
129,59,2,102,2022-05-05,always_full,61,57,20,153.24
126,85,1,115,2022-05-05,always_full,86,91,38,153.05
141,30,0,13,2022-05-05,underused,30,33,74,51.95
166,96,0,30,2022-05-05,always_full,95,90,39,70.19
167,0,0,4,2022-05-05,underused,0,0,86,33.89
142,44,3,1,2022-05-05,underused,47,50,68,41.02
127,73,0,18,2022-05-05,balanced,73,79,86,39.16
124,100,0,24,2022-05-05,balanced,100,105,85,47.76
145,46,0,21,2022-05-05,underused,46,42,96,55.73
160,63,0,14,2022-05-05,balanced,63,65,86,44.67
159,0,0,11,2022-05-05,underused,0,0,86,41.93
173,78,1,56,2022-05-05,always_full,79,94,39,88.54
175,138,14,31,2022-05-05,balanced,152,147,76,41.02
168,0,0,14,2022-05-05,underused,0,0,86,45.23
176,99,3,14,2022-05-05,balanced,102,100,80,33.87
169,69,0,33,2022-05-05,always_full,69,75,47,62.69
170,75,1,57,2022-05-05,always_full,76,76,42,74.4
179,58,0,12,2022-05-05,balanced,57,67,85,41.7
171,59,6,9,2022-05-05,balanced,63,57,92,32.67
180,33,0,16,2022-05-05,underused,33,30,57,59.32
172,69,0,4,2022-05-05,always_full,69,58,64,69.92
174,53,1,30,2022-05-05,underused,54,56,71,51.34
177,37,8,4,2022-05-05,underused,45,44,72,29.13
178,68,2,22,2022-05-05,balanced,70,79,84,36.27
189,39,0,53,2022-05-05,underused,39,42,42,71.4
181,89,0,25,2022-05-05,balanced,89,81,80,60.08
182,58,0,20,2022-05-05,always_full,58,49,45,67.67
183,31,0,10,2022-05-05,underused,31,38,86,39.17
192,50,1,36,2022-05-05,underused,51,38,20,131.67
184,50,0,24,2022-05-05,underused,50,52,85,42.72
185,29,2,48,2022-05-05,underused,30,30,39,76.11
186,54,2,55,2022-05-05,underused,55,51,50,95.28
187,44,0,98,2022-05-05,underused,44,35,19,175.18
188,37,0,66,2022-05-05,underused,37,45,37,95.22
190,68,0,5,2022-05-05,always_full,68,69,75,43.21
191,41,0,10,2022-05-05,underused,41,46,85,36.89
193,33,0,5,2022-05-05,underused,33,27,100,38.1
194,72,0,15,2022-05-05,balanced,71,69,88,49.58
195,27,1,1,2022-05-05,underused,28,21,93,31.02
196,108,3,6,2022-05-05,balanced,111,106,88,29.72
197,43,0,79,2022-05-05,underused,43,33,21,148.17
198,54,4,1,2022-05-05,balanced,58,56,72,36.99
207,45,0,20,2022-05-05,underused,45,39,46,69.22
199,58,0,29,2022-05-05,always_full,58,66,62,60.23
200,131,0,25,2022-05-05,balanced,131,146,85,53.85
201,50,10,1,2022-05-05,always_full,59,46,48,68.31
210,30,8,1,2022-05-05,underused,37,37,71,33.57
202,57,2,44,2022-05-05,always_full,59,64,37,77.58
203,15,0,32,2022-05-05,underused,15,22,39,70.26
204,0,0,10,2022-05-05,underused,0,0,86,41.91
212,186,3,31,2022-05-05,busy,188,217,82,56.69
205,0,0,15,2022-05-05,underused,0,0,86,47.38
213,113,4,23,2022-05-05,balanced,117,125,81,40.4
206,55,0,28,2022-05-05,underused,55,47,64,64.29
208,44,2,6,2022-05-05,underused,46,49,83,34.23
209,50,0,10,2022-05-05,underused,50,49,81,51.15
211,52,2,2,2022-05-05,underused,54,52,91,36.24
222,51,0,26,2022-05-05,underused,50,63,86,51.22
214,24,3,58,2022-05-05,underused,27,20,17,109.28
215,0,0,20,2022-05-05,underused,0,0,86,53.68
223,110,4,70,2022-05-05,always_full,113,109,53,91.58
216,84,1,26,2022-05-05,balanced,85,94,85,44.49
225,20,1,59,2022-05-05,underused,21,27,37,88.73
217,10,0,16,2022-05-05,underused,10,10,86,47.83
218,47,0,76,2022-05-05,underused,47,55,39,107.12
219,33,0,79,2022-05-05,underused,33,37,39,108.78
220,27,1,9,2022-05-05,underused,28,27,86,33.84
221,11,0,14,2022-05-05,underused,11,18,85,42.22
230,20,0,18,2022-05-05,underused,20,19,86,46.33
224,62,1,40,2022-05-05,always_full,63,70,42,62.91
226,30,2,13,2022-05-05,underused,32,37,78,32.38
228,0,0,15,2022-05-05,underused,0,0,86,47.45
235,103,6,22,2022-05-05,balanced,108,110,83,36.95
227,35,0,65,2022-05-05,underused,35,45,41,91.67
229,49,0,15,2022-05-05,underused,49,46,86,40.34
231,16,0,20,2022-05-05,underused,16,11,84,56.58
232,29,0,7,2022-05-05,underused,28,28,86,36.33
233,43,0,66,2022-05-05,underused,43,41,41,91.37
234,24,0,14,2022-05-05,underused,24,28,86,43.65
236,93,0,12,2022-05-05,balanced,93,96,86,44.77
237,0,0,10,2022-05-05,underused,0,0,86,41.96
245,103,18,61,2022-05-05,always_full,121,114,41,82.85
238,32,2,89,2022-05-05,underused,34,27,19,164.88
239,49,2,68,2022-05-05,underused,51,41,50,102.42
240,0,0,15,2022-05-05,underused,0,0,86,47.79
248,46,0,18,2022-05-05,underused,46,45,72,54.87
241,26,0,13,2022-05-05,underused,26,30,86,42.04
242,34,1,5,2022-05-05,underused,35,33,84,33.95
243,40,0,22,2022-05-05,underused,40,46,86,56.04
244,47,6,17,2022-05-05,underused,53,39,55,98.33
246,0,0,10,2022-05-05,underused,0,0,86,41.97
254,116,0,35,2022-05-05,always_full,116,137,71,65.04
249,17,6,1,2022-05-05,underused,23,17,54,40.23
250,9,4,0,2022-05-05,underused,13,12,41,34.27
251,45,0,26,2022-05-05,underused,45,53,82,61.62
252,18,0,3,2022-05-05,underused,18,20,48,51.83
253,18,8,1,2022-05-05,underused,26,16,37,118.42
255,20,1,37,2022-05-05,underused,21,17,20,79.42
256,56,14,7,2022-05-05,always_full,70,66,52,47.15
257,48,3,84,2022-05-05,underused,51,46,18,141.84
258,23,5,69,2022-05-05,underused,28,24,18,113.0
259,54,0,24,2022-05-05,underused,51,54,40,75.14
260,30,1,108,2022-05-05,underused,31,33,2,171.18
261,29,0,48,2022-05-05,underused,29,28,4,97.02
247,22,6,3,2022-05-05,underused,28,30,36,46.63
